participant_alias,fold,support_seed,condition,shots,query_clip_count,query_positive_count,query_negative_count,adaptation_recipe,precision,recall,false_positive_rate,f1,tp,tn,fp,fn
P008,2,20260623,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260623,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260624,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260624,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260620,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260620,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260621,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260621,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260622,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260622,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260623,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260623,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260624,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P008,2,20260624,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,10,15,0,0
P009,4,20260620,0,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260620,3,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260621,0,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260621,3,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260622,0,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260622,3,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260623,0,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260623,3,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260624,0,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260624,3,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,15,0,0
P009,4,20260620,0,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260620,5,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260621,0,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260621,5,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260622,0,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260622,5,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260623,0,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260623,5,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260624,0,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P009,4,20260624,5,5,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P010,3,20260620,0,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,0.9375,0.0,0.967741935483871,15,17,0,1
P010,3,20260620,3,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,0.9375,0.0,0.967741935483871,15,17,0,1
P010,3,20260621,0,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,16,17,0,0
P010,3,20260621,3,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,16,17,0,0
P010,3,20260622,0,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,16,17,0,0
P010,3,20260622,3,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,16,17,0,0
P010,3,20260623,0,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,0.9375,0.0,0.967741935483871,15,17,0,1
P010,3,20260623,3,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,0.9375,0.0,0.967741935483871,15,17,0,1
P010,3,20260624,0,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,0.9375,0.0,0.967741935483871,15,17,0,1
P010,3,20260624,3,3,33,16,17,no_adaptation_zero_shot_fallback,1.0,0.9375,0.0,0.967741935483871,15,17,0,1
P010,3,20260620,0,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,0.9285714285714286,0.0,0.962962962962963,13,17,0,1
P010,3,20260620,5,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,0.9285714285714286,0.0,0.962962962962963,13,17,0,1
P010,3,20260621,0,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,17,0,0
P010,3,20260621,5,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,17,0,0
P010,3,20260622,0,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,17,0,0
P010,3,20260622,5,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,14,17,0,0
P010,3,20260623,0,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,0.9285714285714286,0.0,0.962962962962963,13,17,0,1
P010,3,20260623,5,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,0.9285714285714286,0.0,0.962962962962963,13,17,0,1
P010,3,20260624,0,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,0.9285714285714286,0.0,0.962962962962963,13,17,0,1
P010,3,20260624,5,5,31,14,17,no_adaptation_zero_shot_fallback,1.0,0.9285714285714286,0.0,0.962962962962963,13,17,0,1
P011,1,20260620,0,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,15,0,1
P011,1,20260620,3,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,15,0,1
P011,1,20260621,0,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,15,0,0
P011,1,20260621,3,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,15,0,0
P011,1,20260622,0,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,15,0,1
P011,1,20260622,3,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,15,0,1
P011,1,20260623,0,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,15,0,0
P011,1,20260623,3,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,15,0,0
P011,1,20260624,0,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,15,0,1
P011,1,20260624,3,3,23,8,15,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,15,0,1
P011,1,20260620,0,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260620,5,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260621,0,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260621,5,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260622,0,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,0.8333333333333334,0.0,0.9090909090909091,5,15,0,1
P011,1,20260622,5,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,0.8333333333333334,0.0,0.9090909090909091,5,15,0,1
P011,1,20260623,0,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260623,5,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260624,0,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P011,1,20260624,5,5,21,6,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,6,15,0,0
P012,0,20260620,0,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260620,3,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260621,0,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260621,3,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260622,0,3,30,10,20,no_adaptation_zero_shot_fallback,0.7692307692307693,1.0,0.15,0.8695652173913044,10,17,3,0
P012,0,20260622,3,3,30,10,20,no_adaptation_zero_shot_fallback,0.7692307692307693,1.0,0.15,0.8695652173913044,10,17,3,0
P012,0,20260623,0,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260623,3,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260624,0,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260624,3,3,30,10,20,no_adaptation_zero_shot_fallback,0.75,0.9,0.15,0.8181818181818182,9,17,3,1
P012,0,20260620,0,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P012,0,20260620,5,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P012,0,20260621,0,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
P012,0,20260621,5,5,28,8,20,no_adaptation_zero_shot_fallback,0.7,0.875,0.15,0.7777777777777777,7,17,3,1
