change_label,changed_stage,delta_f1,delta_fpr,delta_recall,doctor_alias,f1,final_false_accepts,fpr,fpr_unstable,method,negative_query_count,positive_query_count,precision,recall,safety_pass,shot,stage1_misses,stage2_rejects,support_seed,zero_f1,zero_fpr,zero_precision,zero_recall
improved,stage2,0.14901960784313717,0.0,0.21052631578947367,D001,0.8823529411764706,0,0.0,False,stage2_cosine_prototype,30,19,1.0,0.7894736842105263,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
unchanged,stage2,0.0,0.0,0.0,D001,0.7333333333333334,0,0.0,False,stage2_finetune_bias_only,30,19,1.0,0.5789473684210527,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
unchanged,stage2,0.0,0.0,0.0,D001,0.7333333333333334,0,0.0,False,stage2_finetune_head,30,19,1.0,0.5789473684210527,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
improved,stage2,0.14901960784313717,0.0,0.21052631578947367,D001,0.8823529411764706,0,0.0,False,stage2_positive_bias,30,19,1.0,0.7894736842105263,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
unchanged,none,0.0,0.0,0.0,D001,0.7333333333333334,0,0.0,False,zero_shot,30,19,1.0,0.5789473684210527,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_bias_only,30,19,1.0,0.5263157894736842,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_head,30,19,1.0,0.5263157894736842,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_stage2_combined,30,19,1.0,0.5263157894736842,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.1926977687626774,0.0,0.26315789473684215,D001,0.8823529411764706,0,0.0,False,stage2_cosine_prototype,30,19,1.0,0.7894736842105263,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_bias_only,30,19,1.0,0.5263157894736842,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_head,30,19,1.0,0.5263157894736842,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.1926977687626774,0.0,0.26315789473684215,D001,0.8823529411764706,0,0.0,False,stage2_positive_bias,30,19,1.0,0.7894736842105263,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,none,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,zero_shot,30,19,1.0,0.5263157894736842,True,5,1,8,20260621,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_bias_only,30,19,1.0,0.5263157894736842,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_head,30,19,1.0,0.5263157894736842,True,5,2,7,20260622,0.6896551724137931,0.0,1.0,0.5263157894736842
