dev_delta_f1,dev_f1,dev_fpr,dev_recall,doctor_alias,method,recipe,safe,selected,shot,support_based
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.2, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03439103380985853,0.9701257861635221,0.007079646017699115,0.9492307692307692,D001,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.2, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.2, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03496837264633634,0.9707031249999999,0.012389380530973451,0.9557692307692308,D001,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.2, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.00043546041229391985,0.9361702127659575,0.0,0.88,D001,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.2, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.001956769607521336,0.9376915219611849,0.0,0.8826923076923077,D001,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03439103380985853,0.9701257861635221,0.007079646017699115,0.9492307692307692,D001,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03496837264633634,0.9707031249999999,0.012389380530973451,0.9557692307692308,D001,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.00043546041229391985,0.9361702127659575,0.0,0.88,D001,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.036154376799078736,0.9718891291527423,0.005309734513274336,0.9507692307692308,D001,positive_bias,"{""bias"": 0.1, ""method"": ""positive_bias""}",True,False,5,True
0.03631918550054791,0.9720539378542115,0.010619469026548672,0.9565384615384616,D001,positive_bias,"{""bias"": 0.25, ""method"": ""positive_bias""}",True,False,5,True
0.038324151488739466,0.974058903842403,0.010619469026548672,0.9603846153846154,D001,positive_bias,"{""bias"": 0.5, ""method"": ""positive_bias""}",True,False,5,True
0.03917285317055352,0.9749076055242171,0.012389380530973451,0.9638461538461538,D001,positive_bias,"{""bias"": 1.0, ""method"": ""positive_bias""}",True,True,5,True
0.03597256471950716,0.9717073170731707,0.012389380530973451,0.9576923076923077,D001,target_prototype_fusion,"{""cosine_threshold"": 0.7, ""method"": ""target_prototype_fusion""}",True,False,5,True
0.03516936793534242,0.970904120289006,0.012389380530973451,0.9561538461538461,D001,target_prototype_fusion,"{""cosine_threshold"": 0.75, ""method"": ""target_prototype_fusion""}",True,False,5,True
0.03416360573859589,0.9698983580922594,0.012389380530973451,0.9542307692307692,D001,target_prototype_fusion,"{""cosine_threshold"": 0.8, ""method"": ""target_prototype_fusion""}",True,False,5,True
0.035112439976604515,0.9708471923302681,0.010619469026548672,0.9542307692307692,D001,target_prototype_fusion,"{""cosine_threshold"": 0.85, ""method"": ""target_prototype_fusion""}",True,False,5,True
0.036411187230487085,0.9721459395841506,0.007079646017699115,0.953076923076923,D001,target_prototype_fusion,"{""cosine_threshold"": 0.9, ""method"": ""target_prototype_fusion""}",True,False,5,True
0.0,0.9276187088742663,0.0,0.8650082918739636,D003,no_adaptation,"{""method"": ""no_adaptation""}",True,False,3,False
0.0043685387346603655,0.9319872476089267,0.0,0.872636815920398,D003,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9276187088742663,0.0,0.8650082918739636,D003,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.034951791894832884,0.9625705007690992,0.006700167504187605,0.9339966832504146,D003,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9276187088742663,0.0,0.8650082918739636,D003,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.037079186577193224,0.9646978954514596,0.011725293132328308,0.9426202321724709,D003,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.00038129112573370705,0.928,0.0,0.8656716417910447,D003,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.0043685387346603655,0.9319872476089267,0.0,0.872636815920398,D003,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9276187088742663,0.0,0.8650082918739636,D003,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.034951791894832884,0.9625705007690992,0.006700167504187605,0.9339966832504146,D003,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9276187088742663,0.0,0.8650082918739636,D003,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
