dev_f1,dev_false_positive_rate,dev_hard_negative_false_positive_rate,dev_p1_recall,dev_p2_recall,dev_p3_recall,dev_p4_false_positive_rate,dev_precision,dev_recall,dev_stage2_rejection_rate,fold,recall_target,selection_reason,selection_split,test_f1,test_false_positive_rate,test_hard_negative_false_positive_rate,test_p1_recall,test_p2_recall,test_p3_recall,test_p4_false_positive_rate,test_precision,test_recall,test_stage2_rejection_rate,threshold,variant
0.9597315436241611,0.044642857142857144,0.044642857142857144,0.9318181818181818,0.9558823529411765,0.9736842105263158,0.044642857142857144,0.9662162162162162,0.9533333333333334,0.019867549668874173,1,0.92,met_recall_target_0.92,val,0.9459459459459459,0.016260162601626018,0.016260162601626018,0.7619047619047619,0.9230769230769231,0.9454545454545454,0.016260162601626018,0.9859154929577465,0.9090909090909091,0.0718954248366013,0.7779486775398254,stage2_bce
0.9597315436241611,0.044642857142857144,0.044642857142857144,0.9318181818181818,0.9558823529411765,0.9736842105263158,0.044642857142857144,0.9662162162162162,0.9533333333333334,0.019867549668874173,1,0.95,met_recall_target_0.95,val,0.9459459459459459,0.016260162601626018,0.016260162601626018,0.7619047619047619,0.9230769230769231,0.9454545454545454,0.016260162601626018,0.9859154929577465,0.9090909090909091,0.0718954248366013,0.7779486775398254,stage2_bce
0.9726027397260273,0.0,0.0,0.9090909090909091,0.9558823529411765,0.9736842105263158,,1.0,0.9466666666666667,0.059602649006622516,1,0.85,met_recall_target_0.85,val,0.9700996677740864,0.008130081300813009,0.008130081300813009,0.7619047619047619,0.9743589743589743,0.9818181818181818,0.008130081300813009,0.9931972789115646,0.948051948051948,0.0392156862745098,0.6626549959182739,stage2_bce_supcon
0.9726027397260273,0.0,0.0,0.9090909090909091,0.9558823529411765,0.9736842105263158,,1.0,0.9466666666666667,0.059602649006622516,1,0.9,met_recall_target_0.9,val,0.9700996677740864,0.008130081300813009,0.008130081300813009,0.7619047619047619,0.9743589743589743,0.9818181818181818,0.008130081300813009,0.9931972789115646,0.948051948051948,0.0392156862745098,0.6626549959182739,stage2_bce_supcon
0.9726027397260273,0.0,0.0,0.9090909090909091,0.9558823529411765,0.9736842105263158,,1.0,0.9466666666666667,0.059602649006622516,1,0.92,met_recall_target_0.92,val,0.9700996677740864,0.008130081300813009,0.008130081300813009,0.7619047619047619,0.9743589743589743,0.9818181818181818,0.008130081300813009,0.9931972789115646,0.948051948051948,0.0392156862745098,0.6626549959182739,stage2_bce_supcon
0.9597315436241611,0.044642857142857144,0.044642857142857144,0.9318181818181818,0.9558823529411765,0.9736842105263158,0.044642857142857144,0.9662162162162162,0.9533333333333334,0.019867549668874173,1,0.95,met_recall_target_0.95,val,0.9668874172185431,0.016260162601626018,0.016260162601626018,0.7619047619047619,0.9743589743589743,0.9818181818181818,0.016260162601626018,0.9864864864864865,0.948051948051948,0.032679738562091505,0.5127525329589844,stage2_bce_supcon
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.85,met_recall_target_0.85,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.5257971286773682,stage2_bce
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.9,met_recall_target_0.9,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.5257971286773682,stage2_bce
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.92,met_recall_target_0.92,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.5257971286773682,stage2_bce
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.95,met_recall_target_0.95,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.5257971286773682,stage2_bce
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.85,met_recall_target_0.85,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.7851404547691345,stage2_bce_supcon
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.9,met_recall_target_0.9,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.7851404547691345,stage2_bce_supcon
0.9761092150170648,0.0,0.0,0.9090909090909091,0.9558823529411765,1.0,,1.0,0.9533333333333334,0.02054794520547945,2,0.92,met_recall_target_0.92,val,0.976271186440678,0.0,0.0,0.8148148148148148,1.0,0.96,,1.0,0.9536423841059603,0.006896551724137931,0.7851404547691345,stage2_bce_supcon
